source,destination,holding_time
7,3,13
7,4,2
7,4,2
0,3,3
0,3,7
0,4,22
0,4,5
0,4,10
0,4,5
0,3,3
0,3,4
0,4,2
0,4,3
0,4,2
0,3,3
7,4,2
7,4,3
0,4,5
7,4,4
7,3,2
7,3,23
0,4,2
7,3,2
7,4,5
7,4,4
7,4,3
0,4,3
0,3,3
7,3,7
0,3,5
0,3,2
0,4,3
0,3,5
0,3,3
0,3,2
7,3,2
7,3,2
7,4,2
7,3,3
0,4,61
7,4,6
7,4,2
0,4,3
7,3,2
7,4,4
7,4,3
7,4,9
7,3,53
7,4,2
0,4,2
7,4,10
0,4,2
0,3,2
7,3,2
0,4,2
7,4,4
7,4,8
7,3,2
0,4,9
7,4,5
7,4,3
7,3,2
0,3,2
0,3,2
7,4,2
7,4,5
7,4,8
7,3,2
0,4,4
7,3,9
7,4,3
0,4,3
0,3,5
7,4,7
0,3,3
0,3,2
7,3,2
0,4,7
7,3,3
7,3,13
0,4,2
0,4,3
7,3,2
0,4,3
7,3,3
0,4,2
0,3,3
7,3,8
7,4,12
0,3,11
7,3,5
7,3,2
0,3,2
7,4,2
0,4,5
7,3,2
7,3,4
7,3,2
7,4,2
0,3,1
